o,t
1,0.002018 
2,0.000453 
3,0.001598 
4,0.002571 
5,0.004731 
6,0.011955 
7,0.012523 
8,0.020590 
9,0.040093 
10,0.050589 
11,0.081121 
12,0.106124 
13,0.147173 
14,0.194629 
15,0.259873 
16,0.339773 
17,0.442152 
18,0.531265 
19,0.670765 
20,0.846036 
21,0.986895 
22,1.229676 
23,1.467219 
24,1.712654 
25,1.992457 
26,2.339851 
27,2.705637 
28,3.206730 
29,3.639148 
30,4.121811 
31,4.734873 
32,5.384437 
33,6.223641 
34,6.831534 
35,7.716694 
36,8.608372 
37,9.743675 
38,10.850059 
39,12.219991 
40,13.114945 
41,14.604334 
42,16.447476 
